Sentence,Verb,Lemma,PropBank Role (n)
people going under a gazebo as the walk to the beach one is holding a surfboard .,walk-01,walk,0
a man wears white socks with beat up brown shoes on a black bicycle .,wear-01,wear,N/A
a skateboarder in gray clothes jumps over a boot in front of an apartment .,wash-01,wash,N/A
a skateboarder in gray clothes jumps over a boot in front of an apartment .,clothe-01,clothe,N/A
a woman wearing a long black sweater is standing near a pink bike on the sidewalk .,stand-01,stand,2
a woman wearing a long black sweater is standing near a pink bike on the sidewalk .,wear-01,wear,2
children are reading and working on schoolwork in a library setting .,work-01,work,N/A
children are reading and working on schoolwork in a library setting .,read-01,read,N/A
a large work site with yellow railings and girders surrounds a worker in a blue shirt standing in the middle near a large pile of soil .,surround-01,surround,2
a large work site with yellow railings and girders surrounds a worker in a blue shirt standing in the middle near a large pile of soil .,work-01,work,2
a large work site with yellow railings and girders surrounds a worker in a blue shirt standing in the middle near a large pile of soil .,stand-01,stand,2
a large work site with yellow railings and girders surrounds a worker in a blue shirt standing in the middle near a large pile of soil .,work-01,work,2
a large work site with yellow railings and girders surrounds a worker in a blue shirt standing in the middle near a large pile of soil .,wear-01,wear,2
here is a picture of a band performing living at a concert .,perform-01,perform,N/A
a woman wearing a dark blue scarf is in the process of preparing homemade sushi .,prepare-01,prepare,N/A
a woman wearing a dark blue scarf is in the process of preparing homemade sushi .,wear-01,wear,N/A
a male weimaraner with a clipped tail is walking through a river .,walk-01,walk,2
"two barefoot young african boys in brightly colored clothing are sitting on a stone floor , one holding a clear bottle of water with a second , blue bottle on the floor between his legs .",hold-01,hold,0
"two barefoot young african boys in brightly colored clothing are sitting on a stone floor , one holding a clear bottle of water with a second , blue bottle on the floor between his legs .",sit-01,sit,0
"two barefoot young african boys in brightly colored clothing are sitting on a stone floor , one holding a clear bottle of water with a second , blue bottle on the floor between his legs .",color-01,color,0
a young boy wearing a blue outfit sliding down a red slide .,slide-01,slide,N/A
a young boy wearing a blue outfit sliding down a red slide .,wear-01,wear,N/A
a man in a yellow shirt and blue pants balances himself on a log behind another man in a light blue shirt and shorts that are light blue and yellow that is also balancing himself .,balance-01,balance,N/A
a man in a yellow shirt and blue pants balances himself on a log behind another man in a light blue shirt and shorts that are light blue and yellow that is also balancing himself .,balance-01,balance,N/A
"two men ; one in a blue shirt and ball cap , and the other in a white shirt playing frisbee on a field near an airport .",wear-01,wear,N/A
"a man and a woman are conversing while eating snow cones at an intersection , while many other individuals pass by .",contrast-01,contrast,N/A
"a man and a woman are conversing while eating snow cones at an intersection , while many other individuals pass by .",converse-01,converse,N/A
"a man and a woman are conversing while eating snow cones at an intersection , while many other individuals pass by .",eat-01,eat,N/A
"a man in a blue swimsuit and a red beanie kneels in the wet sand on the edge of a beach , making a sand castle that is as tall as he is when he is kneeling .",make-01,make,N/A
"a man in a blue swimsuit and a red beanie kneels in the wet sand on the edge of a beach , making a sand castle that is as tall as he is when he is kneeling .",kneel-01,kneel,N/A
"a man in a blue swimsuit and a red beanie kneels in the wet sand on the edge of a beach , making a sand castle that is as tall as he is when he is kneeling .",wet-01,wet,N/A
"a man in a blue swimsuit and a red beanie kneels in the wet sand on the edge of a beach , making a sand castle that is as tall as he is when he is kneeling .",kneel-01,kneel,N/A
a woman in red uniform washing windows from outside of a building .,wash-01,wash,N/A
a man wearing camouflage steers a motorcycle across some stones .,master-01,master,N/A
a man wearing camouflage steers a motorcycle across some stones .,wear-01,wear,N/A
a young man adjusts his clothing while others dive and swim in a lake .,contrast-01,contrast,1
a young man adjusts his clothing while others dive and swim in a lake .,swim-01,swim,1
a young man adjusts his clothing while others dive and swim in a lake .,dive-01,dive,1
a young man adjusts his clothing while others dive and swim in a lake .,adjust-01,adjust,1
"a young girl and a dog standing in a river next to a fallen tree , both looking in the same direction .",look-01,look,2
"a young girl and a dog standing in a river next to a fallen tree , both looking in the same direction .",same-01,same,2
"a young girl and a dog standing in a river next to a fallen tree , both looking in the same direction .",stand-01,stand,2
"a young girl and a dog standing in a river next to a fallen tree , both looking in the same direction .",fall-01,fall,2
a woman in a long white dress and white boots is walking along a stone structure with white stone columns .,walk-01,walk,2
"brown dog trying to bite a white ball with yellow , green and blue puppy toes",try-01,try,N/A
"brown dog trying to bite a white ball with yellow , green and blue puppy toes",bite-01,bite,N/A
a black dog runs on green grass with its mouth open .,open-01,open,2
the little boy is holding a cookie while sitting on a log and pointing upward .,sit-01,sit,2
the little boy is holding a cookie while sitting on a log and pointing upward .,point-01,point,2
the little boy is holding a cookie while sitting on a log and pointing upward .,hold-01,hold,2
woman dressed in blue sitting on a bench with a cane next to her looking through her purse with a stretch limo behind her with a man and a woman walking in opposite directions from one another .,walk-01,walk,2
woman dressed in blue sitting on a bench with a cane next to her looking through her purse with a stretch limo behind her with a man and a woman walking in opposite directions from one another .,opposite-01,opposite,2
woman dressed in blue sitting on a bench with a cane next to her looking through her purse with a stretch limo behind her with a man and a woman walking in opposite directions from one another .,look-01,look,2
woman dressed in blue sitting on a bench with a cane next to her looking through her purse with a stretch limo behind her with a man and a woman walking in opposite directions from one another .,stretch-01,stretch,2
woman dressed in blue sitting on a bench with a cane next to her looking through her purse with a stretch limo behind her with a man and a woman walking in opposite directions from one another .,sit-01,sit,2
woman dressed in blue sitting on a bench with a cane next to her looking through her purse with a stretch limo behind her with a man and a woman walking in opposite directions from one another .,dress-01,dress,2
a group of three men in white shirts stand near a police van while a man in a black jacket with a white stripe sits on the curb .,contrast-01,contrast,2
a group of three men in white shirts stand near a police van while a man in a black jacket with a white stripe sits on the curb .,sit-01,sit,2
a group of three men in white shirts stand near a police van while a man in a black jacket with a white stripe sits on the curb .,stand-01,stand,2
a construction worker working on a building .,work-01,work,N/A
a construction worker working on a building .,work-01,work,N/A
a construction worker working on a building .,construct-01,construct,N/A
a group of construction workers working on a ramp that is closed .,work-01,work,N/A
a group of construction workers working on a ramp that is closed .,construct-01,construct,N/A
a group of construction workers working on a ramp that is closed .,work-01,work,N/A
a group of construction workers working on a ramp that is closed .,close-01,close,N/A
two men pause on a rock while hiking in barren terrain .,pause-01,pause,N/A
someone is looking out their window watching the mailman deliver their mail and drive on to the next house .,look-01,look,2
someone is looking out their window watching the mailman deliver their mail and drive on to the next house .,watch-01,watch,2
someone is looking out their window watching the mailman deliver their mail and drive on to the next house .,drive-01,drive,2
someone is looking out their window watching the mailman deliver their mail and drive on to the next house .,deliver-01,deliver,2
someone is looking out their window watching the mailman deliver their mail and drive on to the next house .,mail-01,mail,2
a woman is standing next to a road where the cars on the road are blurry .,stand-01,stand,2
a dark-haired man in jeans and a blue checkered shirt climbs a pole along side a yellow house and approaches a clay-tiled roof .,approach-01,approach,2
a dark-haired man in jeans and a blue checkered shirt climbs a pole along side a yellow house and approaches a clay-tiled roof .,climb-01,climb,2
a crowd of people are seated together and most are wearing some type of red clothing or hat .,wear-01,wear,2
a crowd of people are seated together and most are wearing some type of red clothing or hat .,clothe-01,clothe,2
a crowd of people are seated together and most are wearing some type of red clothing or hat .,seat-01,seat,2
"a black man in a dress shirt is looking through a microscope , while a poster about blood cells is on the wall in the background .",contrast-01,contrast,2
"a black man in a dress shirt is looking through a microscope , while a poster about blood cells is on the wall in the background .",look-01,look,2
a gray and white dog is biting the ear of a white and brown dog .,bite-01,bite,N/A
"a person wearing a red , white , and blue helmet sitting on a motorcycle .",sit-01,sit,2
"a person wearing a red , white , and blue helmet sitting on a motorcycle .",wear-01,wear,2
a young boy in overalls is sleeping while holding a brown stuffed animal .,sleep-01,sleep,0
a young boy in overalls is sleeping while holding a brown stuffed animal .,hold-01,hold,0
a young boy in overalls is sleeping while holding a brown stuffed animal .,wear-01,wear,0
a young boy in overalls is sleeping while holding a brown stuffed animal .,stuff-01,stuff,0
"a large crowd is assembled on an outdoor street scene , with toy balloons visible and a woman walking a pink bicycle in the foreground .",walk-01,walk,2
"a large crowd is assembled on an outdoor street scene , with toy balloons visible and a woman walking a pink bicycle in the foreground .",see-01,see,2
"with blue slide in background , a young boy is standing on a swing 's seat at a playground .",stand-01,stand,2
"many people in a public area , many pushing children in strollers .",push-01,push,N/A
a tent rests on the shore and a man and canoe are in the background .,sit-01,sit,2
"a man in a sweatshirt reading "" alaska "" at a lottery ticket and cigarette selling stand .",read-01,read,N/A
"a man in a sweatshirt reading "" alaska "" at a lottery ticket and cigarette selling stand .",sell-01,sell,N/A
"a man in a sweatshirt reading "" alaska "" at a lottery ticket and cigarette selling stand .",wear-01,wear,N/A
"a baby shower was held for the new mother , there was a lovely cake in pink and white , and strawberries and punch for refreshments .",new-01,new,0
"a baby shower was held for the new mother , there was a lovely cake in pink and white , and strawberries and punch for refreshments .",hold-01,hold,0
an asian woman and two men ( one asian and one white ) are playing cards in the hallway of a train .,play-01,play,N/A
man with white covering on is face spraying water on a mound of sand with a heart drawn that says open up .,spray-01,spray,N/A
man with white covering on is face spraying water on a mound of sand with a heart drawn that says open up .,say-01,say,N/A
man with white covering on is face spraying water on a mound of sand with a heart drawn that says open up .,read-01,read,N/A
two boys are helping a middle-aged man put the groceries onto the conveyor belt .,help-01,help,N/A
two boys are helping a middle-aged man put the groceries onto the conveyor belt .,put-01,put,N/A
a small child climbing on an elevated net,climb-01,climb,N/A
a small child climbing on an elevated net,elevate-01,elevate,N/A
three people in various stages of swimming strokes race along colorful lane markers .,swim-01,swim,N/A
a woman is sitting next to her suv which has the trunk door open while a man stand by another open door .,stand-01,stand,2
a woman is sitting next to her suv which has the trunk door open while a man stand by another open door .,sit-01,sit,2
"a group of people and a dog sit in the bleachers of a basketball court , watching another group of people 's performance on the court .",watch-01,watch,2
"a group of people and a dog sit in the bleachers of a basketball court , watching another group of people 's performance on the court .",perform-01,perform,2
"a group of people and a dog sit in the bleachers of a basketball court , watching another group of people 's performance on the court .",sit-01,sit,2
a man in blue shirt pausing to have his picture taken finishing his barbecue meal .,pause-01,pause,N/A
a man in blue shirt pausing to have his picture taken finishing his barbecue meal .,take-01,take,N/A
a man in blue shirt pausing to have his picture taken finishing his barbecue meal .,finish-01,finish,N/A
a dog jumps in the snow trying to catch a snowball .,try-01,try,N/A
a dog jumps in the snow trying to catch a snowball .,catch-01,catch,N/A
"with a pack and ski pole on the ground , a man wearing a winter coat is holding a tent while other tents are already set up .",hold-01,hold,0
"with a pack and ski pole on the ground , a man wearing a winter coat is holding a tent while other tents are already set up .",ski-01,ski,0
"with a pack and ski pole on the ground , a man wearing a winter coat is holding a tent while other tents are already set up .",wear-01,wear,0
a girl in a blue beater licking a whisk used to make brownies .,make-01,make,2
a girl in a blue beater licking a whisk used to make brownies .,walk-01,walk,2
a girl in a blue beater licking a whisk used to make brownies .,wear-01,wear,2
a man wearing a blue shirt and red hat riding on the back of a cart filled with hay and pulled by a white horse .,ride-01,ride,N/A
a man wearing a blue shirt and red hat riding on the back of a cart filled with hay and pulled by a white horse .,fill-01,fill,N/A
a man wearing a blue shirt and red hat riding on the back of a cart filled with hay and pulled by a white horse .,pull-01,pull,N/A
a man wearing a blue shirt and red hat riding on the back of a cart filled with hay and pulled by a white horse .,wear-01,wear,N/A
a golden retriever is excitedly greeting a woman as a little dog walks towards the camera .,greet-01,greet,2
a golden retriever is excitedly greeting a woman as a little dog walks towards the camera .,excite-01,excite,2
a golden retriever is excitedly greeting a woman as a little dog walks towards the camera .,walk-01,walk,2
three oriental woman and girls buying and looking at small prints in a store .,look-01,look,2
three oriental woman and girls buying and looking at small prints in a store .,buy-01,buy,2
three oriental woman and girls buying and looking at small prints in a store .,picture-01,picture,2
"two men , one in a circuit city t-shirt , the other in an m&ms t-shirt , operate video game guns .",operate-01,operate,N/A
"two men , one in a circuit city t-shirt , the other in an m&ms t-shirt , operate video game guns .",wear-01,wear,N/A
"two men , one in a circuit city t-shirt , the other in an m&ms t-shirt , operate video game guns .",wear-01,wear,N/A
a man and a woman sit on a car and face the opposite way of the camera .,face-01,face,2
a man and a woman sit on a car and face the opposite way of the camera .,opposite-01,opposite,2
a man and a woman sit on a car and face the opposite way of the camera .,sit-01,sit,2
"three young afro-american ladies on a subway train , one of them is on the phone .",phone-01,phone,N/A
three men and two women stand facing the ocean from the shore on a sunny day .,stand-01,stand,2
three men and two women stand facing the ocean from the shore on a sunny day .,face-01,face,2
"a young boy is standing in front of a register often found in supermarkets , and a woman is handing him a green item from a shopping basket that has other items in it .",hand-01,hand,2
"a young boy is standing in front of a register often found in supermarkets , and a woman is handing him a green item from a shopping basket that has other items in it .",shop-01,shop,2
"a young boy is standing in front of a register often found in supermarkets , and a woman is handing him a green item from a shopping basket that has other items in it .",stand-01,stand,2
"a young boy is standing in front of a register often found in supermarkets , and a woman is handing him a green item from a shopping basket that has other items in it .",find-01,find,2
"a road worker is holding a stop sign , while his coworker is working on the road .",hold-01,hold,0
"a road worker is holding a stop sign , while his coworker is working on the road .",work-01,work,0
"a road worker is holding a stop sign , while his coworker is working on the road .",work-01,work,0
"a road worker is holding a stop sign , while his coworker is working on the road .",stop-01,stop,0
a woman in yellow and red smoking a cigarette and walking down the street with a shopping bag .,walk-01,walk,2
a woman in yellow and red smoking a cigarette and walking down the street with a shopping bag .,shop-01,shop,2
a baby girl in a light blue and pink dress leaning on a stone platform outdoors .,lean-01,lean,2
a young woman leads a group of french youth in a protest chant against sarkozy,chant-01,chant,N/A
a young woman leads a group of french youth in a protest chant against sarkozy,protest-01,protest,N/A
sitting at a table with beer empty beer mugs on it one brother is has a birthday cake sliced with sprinkler lit up while the younger brother is smiling with his eyes closed .,smile-01,smile,2
sitting at a table with beer empty beer mugs on it one brother is has a birthday cake sliced with sprinkler lit up while the younger brother is smiling with his eyes closed .,close-01,close,2
sitting at a table with beer empty beer mugs on it one brother is has a birthday cake sliced with sprinkler lit up while the younger brother is smiling with his eyes closed .,sit-01,sit,2
sitting at a table with beer empty beer mugs on it one brother is has a birthday cake sliced with sprinkler lit up while the younger brother is smiling with his eyes closed .,slice-01,slice,2
two men stand outdoors looking at a cooking pot while one of them holds a piece of paper .,contrast-01,contrast,0
two men stand outdoors looking at a cooking pot while one of them holds a piece of paper .,hold-01,hold,0
two men stand outdoors looking at a cooking pot while one of them holds a piece of paper .,stand-01,stand,0
two men stand outdoors looking at a cooking pot while one of them holds a piece of paper .,look-01,look,0
two men stand outdoors looking at a cooking pot while one of them holds a piece of paper .,cook-01,cook,0
pedestrians walking and riding their bikes on a nice neighborhood .,nice-01,nice,2
pedestrians walking and riding their bikes on a nice neighborhood .,ride-01,ride,2
pedestrians walking and riding their bikes on a nice neighborhood .,walk-01,walk,2
children read a bunch of comic books while eating corn dogs .,read-01,read,N/A
children read a bunch of comic books while eating corn dogs .,eat-01,eat,N/A
"a woman wearing a white sun visor , blue sleeveless top and white see through pants munching on food in a crowded area .",crowd-01,crowd,N/A
"a woman wearing a white sun visor , blue sleeveless top and white see through pants munching on food in a crowded area .",wear-01,wear,N/A
"a woman wearing a white sun visor , blue sleeveless top and white see through pants munching on food in a crowded area .",see-01,see,N/A
"several people , including a shirtless man and a woman in purple shorts which say "" p.i.n.k. "" on the back , are walking through a crowded outdoor area .",walk-01,walk,2
"several people , including a shirtless man and a woman in purple shorts which say "" p.i.n.k. "" on the back , are walking through a crowded outdoor area .",crowd-01,crowd,2
"several people , including a shirtless man and a woman in purple shorts which say "" p.i.n.k. "" on the back , are walking through a crowded outdoor area .",say-01,say,2
a motorcycle driver dressed in orange gear swerves to the right .,drive-01,drive,N/A
a motorcycle driver dressed in orange gear swerves to the right .,dress-01,dress,N/A
two boys try to attach fruits to a bicycle on a dirt road .,try-01,try,N/A
two boys try to attach fruits to a bicycle on a dirt road .,attach-01,attach,N/A
a climber wearing a white helmet is perched on the side of a rock face .,climb-01,climb,N/A
a climber wearing a white helmet is perched on the side of a rock face .,wear-01,wear,N/A
a grinning man is just about to drill a hole into a pumpkin lying on a table .,drill-01,drill,N/A
a grinning man is just about to drill a hole into a pumpkin lying on a table .,grin-01,grin,N/A
a man in a blue jacket standing next to a bus smiling with his back hand in his pocket .,smile-01,smile,2
a man in a blue jacket standing next to a bus smiling with his back hand in his pocket .,stand-01,stand,2
an african american man with a black hat and black tank top plays the drums on some buckets for donations .,donate-01,donate,N/A
a man in a camouflage tank top standing next to a man in a gray t-shirt with a fountain in the background .,stand-01,stand,2
"a person , wearing a costume with many flowers , is standing on the sidewalk trying to get the attention of people passing by .",stand-01,stand,2
"a person , wearing a costume with many flowers , is standing on the sidewalk trying to get the attention of people passing by .",try-01,try,2
"a person , wearing a costume with many flowers , is standing on the sidewalk trying to get the attention of people passing by .",get-01,get,2
"a person , wearing a costume with many flowers , is standing on the sidewalk trying to get the attention of people passing by .",wear-01,wear,2
the two dogs are enjoying a run through the surf .,enjoy-01,enjoy,1
the two dogs are enjoying a run through the surf .,surf-01,surf,1
the south american dancer is with a small boy during carnival ' .,accompany-01,accompany,1
the south american dancer is with a small boy during carnival ' .,dance-01,dance,1
a woman in a pink jacket is walking past a display window with a red dress in an urban setting .,walk-01,walk,2
"an older man stands in a white tank top and blue jeans , holding something to smooth down concrete .",stand-01,stand,2
"an older man stands in a white tank top and blue jeans , holding something to smooth down concrete .",wear-01,wear,2
"an older man stands in a white tank top and blue jeans , holding something to smooth down concrete .",wear-01,wear,2
"an older man stands in a white tank top and blue jeans , holding something to smooth down concrete .",hold-01,hold,2
"a brown dog , a black and white dog , and a black dog are all standing in a field .",stand-01,stand,2
"a man in glasses , a t-shirt and shorts stands in a kitchen and cuts a tomato on top of a cutting board that rests on a kitchen table with a green tablecloth .",cut-01,cut,2
"a man in glasses , a t-shirt and shorts stands in a kitchen and cuts a tomato on top of a cutting board that rests on a kitchen table with a green tablecloth .",thrust-01,thrust,2
"a man in glasses , a t-shirt and shorts stands in a kitchen and cuts a tomato on top of a cutting board that rests on a kitchen table with a green tablecloth .",stand-01,stand,2
a couple of people are standing and the person in the red coat is pointing at the body of water .,point-01,point,2
a couple of people are standing and the person in the red coat is pointing at the body of water .,wear-01,wear,2
a couple of people are standing and the person in the red coat is pointing at the body of water .,stand-01,stand,2
a young man is wakeboarding on a body of water .,crawl-01,crawl,1
a crowded busy dock with people standing next to a freight car either loading or unloading it .aa .,stand-01,stand,2
a crowded busy dock with people standing next to a freight car either loading or unloading it .aa .,offload-01,offload,2
a crowded busy dock with people standing next to a freight car either loading or unloading it .aa .,offload-01,offload,2
a crowded busy dock with people standing next to a freight car either loading or unloading it .aa .,busy-01,busy,2
a crowded busy dock with people standing next to a freight car either loading or unloading it .aa .,crowd-01,crowd,2
a woman with short red-hair sitting on a rocky beach tossing a rock into the water .,sit-01,sit,2
a woman with short red-hair sitting on a rocky beach tossing a rock into the water .,toss-01,toss,2
a large black dog is playing in the ocean .,play-01,play,N/A
two men are standing in front of a concrete building using the atm .,stand-01,stand,2
two men are standing in front of a concrete building using the atm .,use-01,use,2
a man with a beard is wearing a bright red shirt and holding a strapped on guitar .,hold-01,hold,0
a man with a beard is wearing a bright red shirt and holding a strapped on guitar .,cross-01,cross,0
a man with a beard is wearing a bright red shirt and holding a strapped on guitar .,wear-01,wear,0
"a group of people are standing behind a wooden fence , while a man in a light blue shirt stands on the other side .",contrast-01,contrast,2
"a group of people are standing behind a wooden fence , while a man in a light blue shirt stands on the other side .",stand-01,stand,2
"a group of people are standing behind a wooden fence , while a man in a light blue shirt stands on the other side .",wear-01,wear,2
"a group of people are standing behind a wooden fence , while a man in a light blue shirt stands on the other side .",stand-01,stand,2
a large group of people sit on concrete benches while two people walk along in front of it in blue jeans .,contrast-01,contrast,2
a large group of people sit on concrete benches while two people walk along in front of it in blue jeans .,sit-01,sit,2
a large group of people sit on concrete benches while two people walk along in front of it in blue jeans .,walk-01,walk,2
a large group of people sit on concrete benches while two people walk along in front of it in blue jeans .,wear-01,wear,2
a woman in colorful print weaves on a loom while a seated man in a red shirt looks on .,weave-01,weave,1
a woman in colorful print weaves on a loom while a seated man in a red shirt looks on .,look-01,look,1
a woman in colorful print weaves on a loom while a seated man in a red shirt looks on .,seat-01,seat,1
a woman in colorful print weaves on a loom while a seated man in a red shirt looks on .,wear-01,wear,1
"during karate practice , one student kicks through a wooden plank while another individual holds it at face-height .",kick-01,kick,0
"during karate practice , one student kicks through a wooden plank while another individual holds it at face-height .",hold-01,hold,0
"during karate practice , one student kicks through a wooden plank while another individual holds it at face-height .",practice-01,practice,0
"during karate practice , one student kicks through a wooden plank while another individual holds it at face-height .",study-01,study,0
the guy in the gray wagamama t-shirt seems a little tipsy as he chats with the woman smiling wearing a brown dress and mardi gras necklaces holding a glass of ale .,seem-01,seem,0
the guy in the gray wagamama t-shirt seems a little tipsy as he chats with the woman smiling wearing a brown dress and mardi gras necklaces holding a glass of ale .,chat-01,chat,0
the guy in the gray wagamama t-shirt seems a little tipsy as he chats with the woman smiling wearing a brown dress and mardi gras necklaces holding a glass of ale .,smile-01,smile,0
the guy in the gray wagamama t-shirt seems a little tipsy as he chats with the woman smiling wearing a brown dress and mardi gras necklaces holding a glass of ale .,hold-01,hold,0
the guy in the gray wagamama t-shirt seems a little tipsy as he chats with the woman smiling wearing a brown dress and mardi gras necklaces holding a glass of ale .,wear-01,wear,0
a man with bandanna hold a rattle in his left hand while reaching for a snake with his right over a blue carpet and next to a large branch .,hold-01,hold,0
several men wearing helmets are working on a railway line .,work-01,work,N/A
several men wearing helmets are working on a railway line .,wear-01,wear,N/A
a man in a wheelchair wearing a brown jacket and holding a gray cane sits in front of some bushes and trees .,sit-01,sit,2
a man in a wheelchair wearing a brown jacket and holding a gray cane sits in front of some bushes and trees .,hold-01,hold,2
a man in a wheelchair wearing a brown jacket and holding a gray cane sits in front of some bushes and trees .,wear-01,wear,2
a man in jeans with white paint stains on them is standing on a short ladder working on the front of a store .,stand-01,stand,2
a man in jeans with white paint stains on them is standing on a short ladder working on the front of a store .,wear-01,wear,2
a profile of a young person with a punk hairstyle and pierced ear and nose in a cowboy shirt .,profile-01,profile,N/A
a profile of a young person with a punk hairstyle and pierced ear and nose in a cowboy shirt .,pierce-01,pierce,N/A
"many member of a sports league , some in white and some in red stripes , walk about on a green grassy field .",walk-01,walk,2
two boys in blue and yellow uniforms play soccer with a boy in a pink printed uniform .,play-01,play,N/A
two boys in blue and yellow uniforms play soccer with a boy in a pink printed uniform .,print-01,print,N/A
a guy with brown hair in a plaid shirt and jeans is playing a guitar on a street corner .,bottle-01,bottle,N/A
foreign kids playing on some type of statue or monument .,play-01,play,N/A
a young child with brown hair looks over the shoulder of a woman .,look-01,look,2
a man wearing a gray and black shirt and blue jeans sells inflatable brightly colored toys .,sell-01,sell,N/A
a man wearing a gray and black shirt and blue jeans sells inflatable brightly colored toys .,wear-01,wear,N/A
a man wearing a gray and black shirt and blue jeans sells inflatable brightly colored toys .,value-01,value,N/A
a man wearing a gray and black shirt and blue jeans sells inflatable brightly colored toys .,possible-01,possible,N/A
a man wearing a gray and black shirt and blue jeans sells inflatable brightly colored toys .,color-01,color,N/A
a blond woman pours a glass of wine in a dim restaurant .,pour-01,pour,N/A
a dog that looks much like a coyote jumps into the air over a grassy field to catch a tennis ball .,catch-01,catch,N/A
a dog that looks much like a coyote jumps into the air over a grassy field to catch a tennis ball .,resemble-01,resemble,N/A
three boys play around a fountain in an office building courtyard .,play-01,play,N/A
"a father is observing his son , kurt to see if his teaching prevents kurt from cutting himself as he shave with a razor for the first time .",observe-01,observe,N/A
"a father is observing his son , kurt to see if his teaching prevents kurt from cutting himself as he shave with a razor for the first time .",prevent-01,prevent,N/A
"a father is observing his son , kurt to see if his teaching prevents kurt from cutting himself as he shave with a razor for the first time .",cut-01,cut,N/A
"a father is observing his son , kurt to see if his teaching prevents kurt from cutting himself as he shave with a razor for the first time .",shave-01,shave,N/A
"a father is observing his son , kurt to see if his teaching prevents kurt from cutting himself as he shave with a razor for the first time .",teach-01,teach,N/A
"a father is observing his son , kurt to see if his teaching prevents kurt from cutting himself as he shave with a razor for the first time .",see-01,see,N/A
a boy signals with his hands while he walks a white dog with a pink leash .,walk-01,walk,2
a girl wearing a blue short and yellow shirt uniform throws a yellow softball while a girl in a black and red short uniform and red helmet runs .,contrast-01,contrast,N/A
a girl wearing a blue short and yellow shirt uniform throws a yellow softball while a girl in a black and red short uniform and red helmet runs .,throw-01,throw,N/A
a girl wearing a blue short and yellow shirt uniform throws a yellow softball while a girl in a black and red short uniform and red helmet runs .,wear-01,wear,N/A
a little girl in a pink and white flowered dress and blue sweater swinging .,swim-01,swim,N/A
young asian girl who looks upset at a children 's outdoor playground .,look-01,look,2
young asian girl who looks upset at a children 's outdoor playground .,upset-01,upset,2
a shirtless man wearing a white turban is climbing a tree trunk .,climb-01,climb,N/A
a shirtless man wearing a white turban is climbing a tree trunk .,wear-01,wear,N/A
man airborne on wakeboard with elevation in the background and blue water .,elevate-01,elevate,N/A
"two woman , both sitting near a pile of poker chips , are playing cards .",play-01,play,2
"two woman , both sitting near a pile of poker chips , are playing cards .",sit-01,sit,2
a man in an office boardroom is cutting slices of cake for everyone .,cut-01,cut,N/A
a child gets dental care from a dentist as the another health professional holds his hand .,get-01,get,0
a child gets dental care from a dentist as the another health professional holds his hand .,hold-01,hold,0
two people use a plumb line on the ground while a woman in a gray sweater looks on .,contrast-01,contrast,2
two people use a plumb line on the ground while a woman in a gray sweater looks on .,look-01,look,2
two people use a plumb line on the ground while a woman in a gray sweater looks on .,wear-01,wear,2
two people use a plumb line on the ground while a woman in a gray sweater looks on .,use-01,use,2
"a baseball player with "" tulowitzki "" on the back of his shirt is catching a ball thrown by a man in a black jacket .",play-01,play,N/A
"a baseball player with "" tulowitzki "" on the back of his shirt is catching a ball thrown by a man in a black jacket .",throw-01,throw,N/A
"a blond boy smiles with his eyes closed , buried up to his neck in sand .",smile-01,smile,N/A
"a blond boy smiles with his eyes closed , buried up to his neck in sand .",close-01,close,N/A
"a blond boy smiles with his eyes closed , buried up to his neck in sand .",bury-01,bury,N/A
a woman in a yellow hat and yellow shirt holding her hand out like a claw .,hold-01,hold,0
a woman in a yellow hat and yellow shirt holding her hand out like a claw .,resemble-01,resemble,0
a woman in a yellow hat and yellow shirt holding her hand out like a claw .,wear-01,wear,0
a smiling woman wearing a red hard hat has a long length of rope around her shoulders .,smile-01,smile,N/A
a smiling woman wearing a red hard hat has a long length of rope around her shoulders .,wear-01,wear,N/A
"a man with long hair is making an "" ok "" sign with his hand while he walks down a street .",make-01,make,2
"a man with long hair is making an "" ok "" sign with his hand while he walks down a street .",walk-01,walk,2
a girl in a bikini top and shorts poses for a picture on a mountain overlooking a lake .,pose-01,pose,N/A
a girl in a bikini top and shorts poses for a picture on a mountain overlooking a lake .,overlook-01,overlook,N/A
a man with red pants holding on to a wall trying to make it sown some small rocks .,try-01,try,0
a man with red pants holding on to a wall trying to make it sown some small rocks .,hold-01,hold,0
a man with red pants holding on to a wall trying to make it sown some small rocks .,sow-01,sow,0
a group of black people are all in their bathing suits and are standing around fountains which are shooting water on them .,stand-01,stand,2
a group of black people are all in their bathing suits and are standing around fountains which are shooting water on them .,wear-01,wear,2
a group of black people are all in their bathing suits and are standing around fountains which are shooting water on them .,shoot-01,shoot,2
man with sweaty hair wearing white shirt with skull on it playing guitar .,wear-01,wear,N/A
man with sweaty hair wearing white shirt with skull on it playing guitar .,wash-01,wash,N/A
a man with a yellow vest and blue pants is walking through the dry grass .,walk-01,walk,2
a farmer on his tractor harvesting crops behind a low concrete fence .,harvest-01,harvest,N/A
a farmer on his tractor harvesting crops behind a low concrete fence .,farm-01,farm,N/A
blond woman sitting on city bench reading a magazine in the shade .,read-01,read,2
blond woman sitting on city bench reading a magazine in the shade .,sit-01,sit,2
"at some sort of large gathering , a group of men who appear to be chefs stand in a circle sharing some kind of food .",stand-01,stand,2
"at some sort of large gathering , a group of men who appear to be chefs stand in a circle sharing some kind of food .",share-01,share,2
