Original Sentence,Processed Sentence
high above the ground two people cross a large yellow bridge on foot .,Two people crossed the large yellow bridge on foot.
an elderly woman carrying plants on a long bridge over the river .,The plant is carried by an elderly woman.
two people walking across a wooden and orange bridge .,Two people walked.
a lady carrying food crossing a bridge .,skip_because_no_change
a woman walking over a bridge .,a walking woman
a woman wearing plaid pants rides a motorcycle down the road with a pillow and plant secured to the backseat .,skip_because_no_change
"a person in red rides a motorcycle while carrying several items , including a plant .",skip_because_no_change
person in checkered shirt and red pants riding a motorbike down a road .,skip_because_no_change
a woman in a blue helmet and red pants riding a motorcycle .,skip_because_no_change
a man in red pants is carrying groceries on a motorcycle .,skip_because_no_change
"older man with long beard in a white t-shirt , standing outdoors , shows off skillet full of food .","The older man with a long beard, wearing a white t-shirt and standing, showed."
a man in white shirt showing off his cooking on a pan .,skip_because_no_change
a man shows off his stir fry for the camera .,skip_because_no_change
a bearded man shows off what he just cooked .,skip_because_no_change
a man holding out a pot of food .,skip_because_no_change
a man in a green shirt is singing karaoke while a young woman with long brownish hair stands by and listens .,A man in a green shirt sang karaoke while a young woman with long brownish hairs stood and listened.
a girl in a blue shirt and a man in a green long-sleeve shirt dance at a restaurant .,skip_because_no_change
a woman looking up and a man speaking through a microphone .,skip_because_no_change
a man sings while a red-haired woman waits her turn .,skip_because_no_change
a couple is singing karaoke in a bar .,The couple sang karaoke.
"a group of men consisting of a violinist , trumpet player , french horn player and singer are performing on stage while a mime looks on in the background .",skip_because_no_change
"a band on stage playing instruments like trumpets , trombones , french horns and violins while one of the men sings into a microphone .","A band playing instruments such as trumpets, trombones, French horns and violins while one man sang on a microphone."
there is a band performing while a man is singing .,skip_because_no_change
a man is singing with a clown just behind .,The man sang with the clown.
a jazz band playing live .,skip_because_no_change
two women in orange shirts and hats walk in an organized event .,skip_because_no_change
people either going to or leaving some kind of event .,skip_because_no_change
five people in a race are walking next to each other .,Five racial runners walked.
a group of people in orange walking in an event .,skip_because_no_change
people walking in a race on a cold day .,People walking on cold days.
a fluffy white dog runs through the woods with his ears flapping in the breeze .,The fluffy white dog ran with his ear flapped by the breeze.
the little white dog wearing the red collar is running in the grass .,"The little white dog ran, wearing a red collar."
a white dog wearing a red harness runs though the woods .,skip_because_no_change
a small white dog is running across a grassy field .,skip_because_no_change
a white dog runs in the grass .,The white dog ran.
a man holding a yellow balloon sitting on a bench next to a woman with a little girl in front of her and a little boy in green rain boots walking in front of them .,A man holding a yellow balloon on his seat and a little boy walking in green rain boots.
two kids play on the road while their parents wait and sit on the bench .,Two kids played while their parents waited for them while they sat.
a man and woman watching two kids while the man holds a balloon .,skip_because_no_change
a man with a yellow balloon with his family .,skip_because_no_change
a couple is sitting on a bench .,The couple sat.
two women dressed in blue are walking through a grassy hillside .,Two women in blue dress walked.
two older women walk together through a grassy field .,The two older women walked together.
two women wearing blue jeans are walking outside .,Two women in blue jeans walked.
two women walking wearing all blue in a field .,Two women in all blue walked.
two women walking through the field,Two women walked.
"photo is of a scottish parade leader followed by his troupe , while they all march down the street .",skip_because_no_change
band leader motions with a stick while wearing a plaid kilt and cape .,skip_because_no_change
the man in the kiln has an object in his hand to direct the band .,The man had an object to direct the band.
man in scottish garb in a parade,skip_because_no_change
men walking in scottish parade .,The man walks.
a guy in a teal colored uniform is getting ready to mop a floor with cleaning supplies at hand .,skip_because_no_change
a cleaner in a one piece mops the floor in front of his tricycle full of supplies .,One piece of cleaning mopped the floor.
a janitor keeping the floors clean and shiny enough to see your reflection .,skip_because_no_change
"a man in a blue uniform holding a mop , and looking down at the floor .",skip_because_no_change
a janitor cleaning a marble floor .,skip_because_no_change
small girls sit in benches a circle in a clapboard room - a slightly older girl wearing a white turtleneck sits on the carpet in front of them .,"The small girl was sitting in a circle, the older girl in a white turtleneck sat on the carpet."
several young girls sitting in chairs facing a young girl wearing pants and sweater sitting on floor,There were several young girls sitting face to face in pants and sweaters.
young students sit in a circle and half pay attention to the teacher telling a story .,"Young students sat, half-attended to the teacher telling the story."
children are sitting in chairs with a music stand in the background .,The children were sitting on a music stand.
children in a group interacting .,skip_because_no_change
several children holding up a red butterfly on a stick during story time .,Several children held up the red butterflies during story time.
a group of children holding butterfly cutouts in the air .,Children in groups holding butterflies cutouts
children and parents raising their hands in a library .,The child and the parent raise their hands.
children raising their hands at a bookstore .,The child raised his hand.
a group of kids are raising their hands .,skip_because_no_change
a little girl in pink is standing next to a little blond and is looking at cards .,The little pink girl stood and looked at the card.
two little girls sit at a table that has a game and a book with a bear on it .,Two little girls were sitting.
two girls are playing nicely at a bookstore at a children 's book section .,Nice play between the two girls.
two children sit at a table in a room that is filled with many books .,Two children were sitting.
two little girls are in a bookstore looking at a game .,skip_because_no_change
a little girl with pink pants and a pink jacket on in the middle of a pile of plastic bottles .,skip_because_no_change
a child in a pink coat is standing in the middle of a pile of empty plastic bottles .,A child in a pink coat stood.
a young girl in pink standing next to a pile of plastic bottles .,The young pink girl stood.
a girl in a pink jacket standing in a pile of plastic bottles .,A girl standing in a pink jacket.
girl standing in a pile of empty plastic bottles .,a girl standing
a white man using a bull horn is having a peaceful demonstration to make people aware of the energy it requires for manufacturers to produce plastic bottles for water .,skip_because_no_change
a man with a bullhorn behind signs referencing water with <number> other people in the background near a table .,A man with bullhorns with a number of others.
a man on a megaphone protesting with three kids in the back .,A protester with three kids.
here is a man who is protesting against bottled water .,skip_because_no_change
the man with the megaphone is protesting .,skip_because_no_change
"an elderly woman wearing a black coat and a green scarf , looks at her watch as a man is looking at her with his mouth open .",skip_because_no_change
an older lady show a watch to a man standing next to her .,The older lady showed the watch to the standing man.
the man is looking at the old ladies watch .,skip_because_no_change
an older woman is checking her watch .,The older woman checked.
an older female checking her watch .,The older females checked.
a man being thrown wearing white by a man wearing blue in a martial arts competition while people watch .,skip_because_no_change
"a man in white spins through the air during a martial arts competition , as spectators look on .",skip_because_no_change
there is a martial arts competition where a guy is doing a flip .,skip_because_no_change
a man doing a midair kick at a karate tournament .,The man did the midair kick.
two people competing in a martial arts session .,skip_because_no_change
"a person in a pink knitted hat and brightly colored shirt is playing the trumpet as part of a brass band , although only parts of two other instruments are visible .",skip_because_no_change
a person is playing a trombone in a brass band playing outside .,The trombone is played by members of the brass band.
trombonist playing the her instrument in a band for a parade .,skip_because_no_change
one of the band members playing his trombone .,skip_because_no_change
a woman is playing a trombone .,skip_because_no_change
"a woman wearing an apron inspects a large pot on a table filled with cups , bowls , pots and baskets of assorted size .",The woman in apron inspected the large pot.
woman with blue gloves and floral shirt handling a large ceramic bowl in a ceramic shop .,A woman who handles a large ceramic bowl and wears blue gloves and floral shirts.
a woman in a flower shirt is working on a piece of pottery .,skip_because_no_change
a woman preparing to glaze a bowl .,skip_because_no_change
a woman is making a clay pot .,skip_because_no_change
a person holding a cellphone in order to take a picture of another person in the crowd .,skip_because_no_change
a hand holding a cellphone taking a picture of a man with glasses .,skip_because_no_change
someone is taking a picture using a cellphone .,skip_because_no_change
a person taking a picture of a crowded place,skip_because_no_change
a man takes a picture with his phone .,skip_because_no_change
a group of people sing and play instruments in a room with brick walls .,A group of people sing and play instruments.
a man is singing into a microphone while his band plays .,skip_because_no_change
a local band performing at a local venue .,Local bands performing.
a band plays in front of a brick wall,The band played.
a band is performing indoors .,The band performed.
"a man in a blue shirt with white stripes , sits on the side of the road with his thumb to his mouth by a wheelbarrow full of fruit and vegetables .",skip_because_no_change
"a man sits in front of a blue wheelbarrow full of produce , his thumb pressed against his mouth .",The man sat with his thumbs pressed against his mouth.
an elderly man sits in a street with a wheelbarrow full of vegetables in front of him .,skip_because_no_change
man in blue shirt sitting on the side of the road with a wheelbarrow of vegetables,A man in blue shirt sat with a wheelbarrow of vegetables.
a man sits behind a wheelbarrow full of vegetables .,The man was sitting.
a person wearing a hat and a blue shirt carries their items on a bike in a marketplace .,skip_because_no_change
a man in a blue jacket is pushing a bicycle loaded with a potato type vegetables .,skip_because_no_change
a man in a tan hat and blue shirt walks a bike loaded with produce .,skip_because_no_change
man in blue jacket sells cart of turnips in busy open market .,A man in a blue jacket sold a turnip cart.
a man in a blue shirt pushes a bicycle loaded with produce .,skip_because_no_change
a child in an orange sweater is playing with a child in blue clothes on a white couch under a red painting .,skip_because_no_change
a kid in a yellow shirt wrestles with a denim wearing kid on the white couch .,Kids in yellow shirts wrestle with kids in denim.
two young boys playing on a white sofa .,Two young boys played.
two kids are wrestling on a white sofa .,Two kids wrestled.
two toddlers wrestle on a white couch .,Two toddlers wrestled.
a young man on an indoor stage stands before a microphone while holding a guitar .,A young man holding a guitar.
a guitarist on a stage holding his guitar and saying something to the audience .,A guitarist holding his guitar and saying something to the audience.
a young man with a guitar is standing in front of a microphone .,A young man with a guitar stood.
a man is holding a guitar and speaking into a stand microphone,skip_because_no_change
a guy in a poorly lit room plays the guitar .,The guy played the guitar.
a police officer stands between dragons in a chinese new year celebration .,Police officers stand in China's New Year celebrations.
a man in black stands between two huge soft toys at a fairground .,The black man stood.
this policeman is standing in front of a ride at a carnival .,These policemen stood.
a police officer in the middle of a parade,skip_because_no_change
a police officer keeps watch a parade .,skip_because_no_change
a gray-haired man in a black trench coat stands with another gray-haired man with a long gray jacket talking .,skip_because_no_change
two old people wearing coats are talking on the sidewalk .,Two old people in coats talked.
<number> older white men in trench coats talking to each other .,skip_because_no_change
two men are standing together and talking .,skip_because_no_change
two older men talking on a sidewalk .,Two older men talking.
"a young man with dark , curly , shoulder-length hair smiles at the camera while standing at a gas stove and stirring the contents of a frying pan .",skip_because_no_change
a girl with black hair and a brown sweater is cooking on the stove and has a big smile on her face .,A girl with black hair and a brown sweater and a big smile.
a young lady in a green shirt makes a dish in a black skillet on a gas stove .,A young lady in green shirt made a dish.
a woman is smiling and cooking something in a frying pan .,The woman smiled and cooked something.
a person is cooking in a wok .,People cook.
a person wearing a blue jacket walking up a hill through snow with red skies .,A blue jacketed person walks through the snow with a red sky.
a man with skis strapped to his back is walking up a snowy hill .,A man walking with a ski strapped to his back.
a person walks up a snowy hill with skis on his or her back .,Skiers walk.
"a skier with skies on their pack , walking up the slope .",Skier with sky and walking up.
a snowboarder is walking up a mountain .,Snowboarders walk up.
three men in yellow vests digging a hole in the dirt .,Three men in yellow vests dug a hole.
the men are busy fixing the water leak in the city .,The man was busy fixing the water leak.
<number> men with yellow vests digging a oblong hole .,skip_because_no_change
three construction workers digging a hole .,skip_because_no_change
construction workers are digging a ditch .,skip_because_no_change
young male hikers stop to take a rest at the rocky ledge of a mountain vista .,A young male hiker stopped to rest.
a group of people are taking a rest on their hiking trip .,skip_because_no_change
the boys play on the rocks overlooking the valley .,The boy played.
three kids are hiking on a mountain .,Three kids hiked.
three boys on a hiking trip .,skip_because_no_change
an older brown-haired woman is holding a young blond girl in pink pajamas as another brunette woman in a green shirt looks on .,skip_because_no_change
"a woman in a red t-shirt is carrying a blond child , while another woman stands nearby in the kitchen .",skip_because_no_change
two women are in a kitchen and one of them is holding a little girl .,Two women and one holding a little girl.
a mother cooking as grandma holds a young child to watch .,skip_because_no_change
a group of females standing in the kitchen .,The female group stood.
"a man in a green shirt sits next to a small girl with blond-hair , who is reaching for what he has in his hands .",A man in a green shirt sat there.
a man is sitting down at a table showing something to a little girl,skip_because_no_change
a man in a green shirt plays with a blond-haired girl .,skip_because_no_change
small girl sharing dinner with her dad .,skip_because_no_change
a dad fixing a toy for his daughter .,skip_because_no_change
middle-aged women ( maroon shirt ) holding child ( white shirt ) and a young women ( green shirt ) in the not too far distance .,a middle-aged woman holding a child in a maroon shirt and a young woman holding a child in a white shirt
a young blond girl is hugging an older brunette woman with another blond woman in a green dress standing by watching .,A young blonde girl hugged an older brunette woman with another in a green dress standing.
a brunette woman in a brown shirt lovingly hugs a young blond girl in a white shirt .,skip_because_no_change
a dark-haired woman hugs a blond child while a woman in a freen shirt watches .,skip_because_no_change
grandmother and granddaughter share a precious moment as mom looks on .,skip_because_no_change
there are two people flying a red and blue parachute in a wide open space on a semi-cloudy day .,"On a semi-cloudy day, two people flew parachute red and blue."
three people in an open outdoor area have just landed from a skydiving drip .,Three people just landed from a skydive flight drip.
several people getting ready to glide in the sky with their para-gliders .,skip_because_no_change
two people landing on the ground with red and blue parachutes .,Two people land with red and blue parachutes.
two skydivers landing with their parachutes open .,skip_because_no_change
a woman with glasses with a large bag around her arm on a street surrounded by people .,A woman with glasses and a large bag surrounded by people.
a woman wearing a white blouse is waiting to cross a busy street .,skip_because_no_change
a crowded street corner full of commuters .,skip_because_no_change
a woman in the city holds a big purse,The woman held a big purse.
a woman walking down a crowded street,a walking woman
"a basketball is up in the air above players on two teams , one team is wearing white and the other team is wearing navy blue .",Basketball
a basketball game where many of them are gathered around the hoop and two have fallen to the ground on the right .,There was a basketball game where many of them gathered and two fell to the ground.
several men are watching a basketball moving toward the basket deciding if they should rebound the ball .,skip_because_no_change
a college basketball game being played in the big ten conference .,Played college basketball games.
basketball players waiting for a rebound .,skip_because_no_change
a group of well dressed people look towards the front of a church .,skip_because_no_change
a group of people in formal clothing gathering in a church .,A group of people in formal clothing gathered.
a family with many generations is attending church .,skip_because_no_change
a group of people are gathered around pews .,A group of people gathered.
a congregation taking pictures in a church .,The congregation took photos.
"a person wearing a bright green jacket , with a white helmet , red and blue backpack and goggles skis down a snowy mountainside .",skip_because_no_change
a skier is skiing down a mountain with snow covering trees in the background .,Skiers were skipping down with snow covering the trees.
a downhill skier wearing a lime green jacket and a white helmet .,Skiers in lime green jackets and white helmets.
a man in a green jacket skies down a steep slope on fresh snow .,A man in a green jacket was skying down a steep slope.
a man is skiing down the snowy slopes .,The man skied down.
a cowboy in a black hat holds on to a black and white bull as it begins to buck him off of its back .,skip_because_no_change
rodeo riding cowboy trying to keep on a bucking bull in an arena surrounded by rodeo clowns .,Rodeo cowboys try to keep on the bucking bulls.
a man with a black sombrero is riding a bull inside an arena .,A man in a black sombrero rode a bull.
bull rider on a wild kicking bull at the rodeo,Bull riding wild kicking bull
a cowboy riding a bucking bull .,skip_because_no_change
five construction workers in orange vests and orange hard-hats standing outside in the rain .,skip_because_no_change
a group of male construction workers bedecked in orange clothing work on a roadway .,skip_because_no_change
five uniformed construction workers are standing in the street .,Five construction workers stood in uniform.
workers in orange suits are working on a road .,Workers in orange suits work.
public workers are doing some kind of a job .,skip_because_no_change
a woman with long hair is being photographed while a man plays pool in the background .,A woman with long hair was photographed while a man was playing in the pool.
a female in a violet shirt and black pants is the focus of multiple cameras .,skip_because_no_change
a woman is posing at a photo shoot .,The woman poses.
a woman is having her photo taken,skip_because_no_change
woman being recorded .,skip_because_no_change
a brown dog is leaping into the air in front of a wooden structure in a pine forest .,The brown dog leapt into the air.
a brown dog jumping off the ground in the woods,The brown dog jumped from the ground.
a brown dog is jumping on its hind legs .,skip_because_no_change
the dog leaps into the air in a field .,The dog leapt into the air.
a black dog jumping .,skip_because_no_change
"a woman in a red shirt stands alone in a terminal , with three pieces of luggage .",skip_because_no_change
a woman in a red jacket and boots is waiting with her luggage at the airport .,skip_because_no_change
an asian woman with her luggage in a train station .,- an Asian woman with her luggage
a young asian woman stands with her luggage .,skip_because_no_change
young lady lost her connection to hawaii .,skip_because_no_change
a middle-aged man wearing a button up shirt reads a book about dogs to a toddler sitting in his lap .,A middle-aged man in a button-up shirt read a dog book to a sitting toddler.
a man in a lavender shirt holds a young child in his lap while holding a dog book in his hands .,A man in a lavender shirt held a young child while holding a dog book in his hands.
a man has a hardcover illustrated book open in front of the infant sitting on his lap .,The man opened the illustrated hardcover book.
a man in a purple shirt reading to a child in his lap,A man in a purple shirt read to the child.
a balding man reads to a young child .,skip_because_no_change
a young brown-haired girl in a long-sleeve white shirt and gray pants is playing with red wooden pegs at a park .,skip_because_no_change
a mother and her baby are at a park with both of them touching a part of an apparatus .,skip_because_no_change
a woman and child are at a park manipulating one of the toys there .,One of the toys was manipulated by women and children.
"a mother , teaching her baby girl .",skip_because_no_change
mother playing with her daughter,skip_because_no_change
a man stands in front of a stack of paperwork and you can see it the reflection form the window,The man stood and you could see the reflections of the window.
a man wearing a yellow shirt is looking down and standing in front of a window next to a box .,The man in a yellow shirt looked down and stood.
a man is standing in front of a mirror .,The man stood.
a man in front of a bin of papers .,Man.
a man in a striped shirt reading .,skip_because_no_change
"a woman plays guitar capoed up two frets , in a room lit by a standing lamp .",The woman played a two-finger capo guitar.
"a young person is playing guitar , behind them stands a very bright lamp .",Young people playing guitar and a very bright lamp stands.
a person plays the guitar in front of a tall thin lamp .,People playing guitar.
a girls playing guitar in a room near a tall lamp .,a girl who plays guitar
a guy playing a guitar who has long brown hair .,skip_because_no_change
a man is standing in the street next to a doorway while he holds his hands behind his back .,The man stood holding his hand behind his back.
"a man in a black vest , white shirt and black pants stands in a sunny alley .",skip_because_no_change
a man with a mustache is standing in an empty street .,A man with a mustache stood.
a man in a vest stands on a quiet street .,The man in a vest stood.
a man stands in the street .,The man stood.
a man is reading a newspaper while standing on a ladder with his head through a hole in the ceiling while a mexican puppet hangs nearby .,But the man read the newspaper while standing with his head through the hole.
a man standing on a ladder with his head above the ceiling panels and a puppet dangling in the foreground .,The man with the head stood on a ladder.
a electrician fixing or replacing lights in a office building wearing jeans and a black shirt .,skip_because_no_change
"an electrician working on lights , possibly air conditioning ducts in an office building .",electrician who works in a light or maybe an air conditioning duct.
man on ladder reading while his head is inside a ceiling panel .,The man read while his head was inside a ceiling panel.
a dog is playing by itself on a beach that has recently seen snowfall .,Playing by yourself with the dog.
a yellow dog is running down a sandy and snowy hill .,The yellow dog ran down.
a dog is running in the dirt and snow .,The dog ran.
a dog walking along a snow drift .,The dog was walking.
a dog running on the sand .,a running dog
there are many people walking around and viewing things in the red room,Many walk and view things.
a man in a blue shirt on his knees praising a religious statue .,skip_because_no_change
an asian male kneels on the floor before a shrine .,An Asian male on his knees
an asian man is praying at a buddhist temple .,Asian men pray.
asian man is praying on his knees .,skip_because_no_change
eight people are attempting to pull a tractor with a rope,skip_because_no_change
a group of people play tug-of-war with a tractor .,skip_because_no_change
a group of people trying to pull a tractor .,skip_because_no_change
people are pulling a big green tractor .,skip_because_no_change
people pulling a tractor by a rope .,skip_because_no_change
"a woman in a red coat , hat and scarf sits on the sidewalk surrounded by bags of various items , some in bags and some in blue , red or black plastic tubs .","A woman in a red coat, hat and scarf sat surrounded by a bag of various items, some of which were ""some""."
a lady sitting wearing a red jacket blue handkerchief wrapped around her head selling bags of goods on the street .,skip_because_no_change
"a woman in a red jacket , with a hat and scarf on her head , selling her wears on the sidewalk .","A woman in her own wear, in a red jacket, a hat and scarf."
a woman in a red coat selling various herbs and food .,skip_because_no_change
a lady selling different foods on the street .,a lady selling different food
"two men sitting on a subway are reading , with coats and scarves on , but have seemed to have lost their pants .",But two men sitting in coats and scarves read.
"two men not wearing any pants are sitting next to each other , both reading , on public transportation .",Two men reading without pants sat on public transport.
two pants less men sit on a train passing time while catching up on the news .,Fewer men are sitting to pass the time while they catch up on the news.
two men are riding on a subway while reading books without wearing any pants .,skip_because_no_change
two men read books while sitting in a subway in their underwear .,Two men read the book while sitting in underwear.
an attendant in a beige uniform and red middle-eastern hat pours liquid from a gold pitcher into a cup while woman sits reading a magazine by a window behind her and a man wearing a striped shirt carrying an electronic device approaches her .,skip_because_no_change
a flight attendant on an international flight is pouring a warm beverage for a passenger .,skip_because_no_change
"a woman , in a tan outfit , serving a beverage to a man in a striped shirt .",skip_because_no_change
a man waits to get a drink from a flight attendant .,skip_because_no_change
an airline attendant pours a drink for a man .,skip_because_no_change
child plays with pigeon in busy public area while group of people watch him play .,Children playing with pigeons while a group of people watched.
a child is pushing or kicking a bird with his foot .,skip_because_no_change
a young person has their foot under a bird 's wing .,Young people's feet
a young boy trying to kick a pigeon in park .,Young boy trying to kick a pigeon
a young boy chases after a bird .,skip_because_no_change
"two large cones are outside , in the street , in front of a large building .",Two large cones.
a construction site with a man moving a red and white striped board .,The construction site where men moved the red and white stripes of the boards.
"men are in a work zone , working across the street from a dsw store .",A worker.
men cleaning up mess on street .,a man who cleans up the mess
men work on a city street .,The man worked.
"a classroom in india , with many decorations hanging from the ceilings , and a white circle on the floor .",Classrooms with many decor hanging from the ceiling and white circles.
an older white man teaching to indian students wearing blue while their teacher watches .,skip_because_no_change
"students , and their teachers in a classroom going over material .",Students and teachers go over the material.
a white man shows indian children something in a book .,White men show something to Indian children.
a woman stands in a room of children .,The woman stood.
a man with dark hair and a white top is walking toward a bird on a boardwalk .,skip_because_no_change
pelican raising its wings and walking toward man in white shirt .,The pelican raised his wing and walked.
a man with a white tank top feeding a seagull on the pier .,The man with the white tank top fed the seagulls.
a man in a white shirt is approaching a seagull .,The man in white shirt approached.
a man and a pelican on a boardwalk .,Man and pelican
"two middle-aged white men wearing sunglasses sit in sun , one with green shirt and blue baseball cap the other in a plaid .",skip_because_no_change
"two men , one sitting and lounging , the other standing and talking .",skip_because_no_change
two men and a woman sitting outside on a short wall and talking .,The man and woman sat and talked.
two men with sunglasses hanging out outside .,skip_because_no_change
two men with shades talking on a balcony .,Two men with shades talking.
a man wearing a yellow sweater playing with a black dog in a grassy field,A man in a yellow sweater played with a black dog.
a man in a yellow sweatshirt and black pants plays with a black poodle .,skip_because_no_change
a man wearing a yellow shirt is playing with his black poodle .,skip_because_no_change
man in yellow jacket teaching his black dog to do a trick .,skip_because_no_change
a man in a yellow shirt training a black poodle,skip_because_no_change
"a young man , without apparent protective gear , is on a bicycle jumping over small hills of sand or gravel , with a long bridge and tall buildings in the background .","A young man, without apparent protective gear, hopped on a bicycle, jumped over a small hill of sand or gravel, had a long bridge and tall buildings."
"a man on a bicycle , wearing an all black outfit , looks as though he 's hanging in midair over a bridge .",skip_because_no_change
a stunt bicyclist performs an aerial trick before a city skyline .,Stunt bicyclists perform aerial tricks.
a young male is doing a bike trick on a bridge in the evening .,A young male tricked the bike in the evening.
a man is doing tricks on a bike and is very high in the air .,The man did the trick on a bike and it was very high.
"asian boy in orange , white , and black coat celebrating st. patrick 's day with a soda and green balloon .",skip_because_no_change
a little asian boy is wearing green beads and holding a green st. patrick 's day balloon .,skip_because_no_change
a happy young boy is holding a st. patrick 's day balloon .,skip_because_no_change
a little boy is holding a soda and a green balloon .,skip_because_no_change
an asian boy celebrates saint patrick 's day .,skip_because_no_change
a man with a gray beard and baseball cap sits with other people .,skip_because_no_change
bearded old man has discussion on trolley .,The old man with a beard discussed.
man in green jacket with baseball hat on .,skip_because_no_change
a man with a beard is in a conversation .,skip_because_no_change
a man with white hair sitting .,skip_because_no_change
two people walking on the street with lots of bare trees around and snow on the ground .,Two people walked.
two distant boys walking down snowy street in urban area .,Two distant boys walked down.
two adults walking in the street in a suburban area,Two adults walked.
two people walking on a street with barren trees .,Two people walked.
two people walking across a street .,Two people walked.
a man in a black t-shirt holding a baby in a diaper and blue shirt on his lap .,A man holding a diapered baby in a black and blue t-shirt.
the infant boy is sitting on a man 's leg who is wearing a black shirt .,An infant boy in a black shirt sat.
"a man is steadying a diapered , blue-shirted infant on his knee .",skip_because_no_change
a baby in a blue shirt and diaper is being held by a man .,skip_because_no_change
a man with a black shirt watching a baby .,skip_because_no_change
"a group of people are sitting at a table and eating together , they are in a fine dining establishment .",A group of people sit together and eat together and are in a fine dining establishment.
three men and two women are drinking liquor and eating a meal on a black table with wooden chairs .,Three men and two women drank liquor and ate a meal.
a group of two woman and <number> men sit at a dark wooden table eating dinner .,A group of two women and a number of men sat to eat dinner.
a group of five people are eating a meal in a restaurant .,A group of five people ate a meal.
five people at a table eating .,Five people ate.
woman in pink long-sleeve shirt sitting in front of piano crying .,A woman in a long sleeve pink shirt sitting crying.
a young woman fights her life struggles through the piano .,skip_because_no_change
woman with tear stained face at a piano .,The woman had a tear stained face.
a woman at a piano with smeared mascara .,a woman with smeared mascara
a crying woman leans on a piano .,The crying woman leans in.
a woman with dirty blond-hair and sunglasses and a man with dark hair stand in front of a record store .,skip_because_no_change
a woman and a man are passing by a window displaying a record .,skip_because_no_change
a blond girl standing in front of a large metal fan,The blonde girl stood up.
a man and woman walking past a record shop,The man and woman walked.
a woman and a man stand outside a store .,Women and men stand.
people dressed in bright colored tunics are waving flags .,skip_because_no_change
a small band dressed as peasants performs in the street .,A small band in peasant dress performed.
a colorful marching band playing in a town center .,A colorful marching band playing.
performers in costumes are performing at a parade .,The performers in costumes performed.
a band is playing outside on a stone walkway .,The band played.
a group of nine performers on a stage are shown holding guitars and wearing black and red costumes .,skip_because_no_change
"nine female dancers wear tutus and use "" guitar hero "" guitars as a prop on stage .",The 9 female dancers were wearing tutus and used a guitar as a prop.
"on a stage , dancers with tutus and guitars are performing for the audience .",Dancers with tutus and guitar perform for the audience.
dancers dressed in similar outfits pose on a wooden stage .,Dancers dressed in similar outfits pose.
girls performing a dance routine .,skip_because_no_change
a black-haired female guitarist and a male drummer are playing in a large tent .,The female guitarist (black hair) and male drummer played.
a drummer is playing in front of a sign that says sxswo in a tent .,Drumbeat playing.
a drummer and guitarist play music for a crowd .,skip_because_no_change
band playing with a female lead singer .,skip_because_no_change
a man in a green shirt playing drums .,skip_because_no_change
a grandma dressed in white and blue striped shirt and blue shorts poses with two children wearing white shirts .,skip_because_no_change
a woman and two little girls are sitting on a concrete bench with their hands on their faces .,The woman and the two little girls were sitting hand in hand.
a grandma and two grandkids in shirt and shorts are posing for a picture .,skip_because_no_change
three people sitting on a ledge near a garden posing for the camera .,The three people posing for the camera were sitting.
a woman and two girls sitting on a bench taking a picture .,A woman and two girls sat down to take photos.
two pairs of legs walk past the end of an alley between two brick buildings .,Walked on two pairs of legs.
"two people walk down the street , seen from a alleyway .",The two people that the alleyway saw walked in.
the legs of several people walking past an alley .,Legs of several people walking.
view through an alley of pedestrians passing by .,View of the alley where pedestrians passed by.
an alley open to a couple of people walking by,The alley opened to a couple walking.
a man in a blue suit wearing glasses is standing at a podium talking .,A man in a blue suit with glasses stood to talk.
man in suits stands at podium and speaks .,The man in dress stood and spoke.
a man in a suit is speaking at a lectern .,The man in suit spoke.
a man talks behind a podium .,The man was talking.
a man standing at a podium .,The man stood.
the ballroom of a big party or maybe a big business meeting which has a lot of people dressing nice .,skip_because_no_change
a group with waiters in the foreground mingles under chandeliers on a white ceiling .,A group of waiters mingled.
many people in dark cloths are drinking and talking together .,skip_because_no_change
many businessmen and women at a social event .,skip_because_no_change
a large group is gathered for a banquet .,skip_because_no_change
a man is sitting in the street eating fast food and using a cellphone .,"A man sitting, eating fast food, using a cellphone."
man sitting on curb eats hamburger and checks text message .,The sitting man ate a hamburger and checked.
a short-haired man in sitting on a curb eating mcdonalds .,A short haired man sitting on a McDonalds product eating.
subjects eating a mcdonalds meal along the street .,The subject of eating McDonalds meals.
people sitting on the street eating mcdonalds .,Sitting eating McDonalds.
"a man cleaning the park with a dark stripe hat , blue coat and dark blue jeans , with a dog on a leash holding a paper picker , along with a man who has a blue hat , yellow gloves , blue coat , light blue jeans , paper picker and bag .",skip_because_no_change
"two men walk in the park , one with a shaggy dog on a leash and a device for cleaning up canine droppings .",skip_because_no_change
"two people , one with a dog , walking through the park picking up trash .",skip_because_no_change
"two men walking , one with a dog and a pooper scooper .",skip_because_no_change
people picking up trash in the park .,People pick up trash.
"a young girl stands in yellow plaid shorts and a white top holding a wooden fishing rod as she stands at the boundary of a small pond , gazing at the camera .",skip_because_no_change
a young girl wearing yellow shorts and a white tank top using a cane pole to fish at a small pond .,A young girl in yellow shorts and a white tank top using cane poles to fish.
a pretty female child with curly brown hair is holding a bamboo pole over a lake .,A pretty female child with curly brown hairs holds a bamboo pole.
a young girl fishes in a small lake with a bamboo rod .,The young girl fishes with bamboo rods.
a little girl holding a stick at the lake,Little girl holding a stick.
