Original Sentence,Processed Sentence
['A young white female in a white snowsuit and black beanie laying on the ground making a snow angel in the maroon snowsuit.'],['A young white female lay laying.']
['A person in a black jacket was standing in front of a stone building.'],['The person in the black jacket stood.']
['And one of them was carrying a flag and a number of Chinese people were standing in the street.'],['And dozens of Chinese stood by carrying the flag.']
"['A robed person in a crowd was showing a tube of red, red and purple.']","['A robed person in a crowd was showing a tube of red, red and purple.']"
['A group of skiers led by a white and black dog climbs a hillside trail covered in ferns.'],['A group of skiers led by black dogs climbed.']
"['Hard work at the pharmacy lab work of a pharmacist with white glasses and a white coat, but trying to smile at the camera.']",['Hard but trying to smile at the camera of a pharmacist working in a pharmacy lab with white glass and white coat.']
['A young man was standing next to a white and green pole.'],['The young man stood.']
"[""A man in a yellow shirt pretends to be a man who is going to pull an anchor rope inside a ship that looks like it's up close to a glass of beer.""]","[""A man in a yellow shirt pretends to be a man who is going to pull an anchor rope inside a ship that looks like it's up close to a glass of beer.""]"
"['The golden retriever, a mouth-carrying stick, was coming from the water.']","['The water came from a golden retriever, a mouthed retriever carrying a stick.']"
"['Standing out looking at the mountain , a man in his head with no shirt and wearing ski boots and shorts .']","['The man standing out, headless, without shirt, wearing ski boots and shorts.']"
['And one young girl with blond hair was talking to her.'],['And one young girl with blond hair was talking to her.']
['Snowy Mountainside with poles and snow gear reserved.'],['Snowy mountainside.']
['A lone fisherman is sitting on a rock on a snowy mountain trail.'],['A lone fisherman sits.']
['The gray dog was jumping toward the snow toward a white dog and a black dog.'],['The gray dog was jumping toward the snow toward a white dog and a black dog.']
"['Interestingly , a man in a black jacket was sitting down .']",['An interesting man in a black jacket sat.']
"['And the baby was sitting in a suitcase with pajamas, digging through it.']","['And the baby, who had pajamas, dug through the contents of the suitcase and sat.']"
"['and holding over the game controller, and the baby on the floor sitting on his head.']","['And holding the game controller over the head, the baby was sitting on the floor.']"
['The older man in sweaters and jeans was lifting down the box to the top of the pile.'],['The older man in sweaters and jeans lifted the box down to the top of the pile.']
"['Standing between the parked cars were two of the children, holding their wrists, making a sad face.']","[""And holding one's wrists and making a sad face, standing between two cars parked, one of them was two children.""]"
"['And people are taking time to study, or dreaming through the window, or reading the paper.']",['And people have dreams of reading papers and taking time to study.']
['A bucket man on top of a grained roof works next to him.'],['The man with the bucket next to him was working.']
['And while the other was fishing a woman was holding one of her children standing on the shoreline with two children wearing hats.'],"['And while fishing, one child was held, two stood on the shoreline.']"
['A man in white shirt reaches upwards in front of a group of long pipes.'],['A man in white shirt reaches upwards in front of a group of long pipes.']
['A black-meat dog paddles in bright-ball water.'],['A black-meat dog paddled in bright-ball water.']
"['The man in white shirt surrounded the other four boys by the water, flipping the young boys.']",['The young boy was flipped by a man in white shirt surrounded by four other boys.']
['Two men sleeping in makeshift beds on the cliff side.'],['Two men sleep.']
